,asin,reviewText,title,price
0,0070428077,"There is no real formatting in this book, just one big slob of text. It is very unreadable and boring",Machine Learning,50.27
1,0070428077,"I read this book about 7 years ago while in the PhD program at Stanford University. I consider this book not only the best Machine Learning book, but one of the best books in all of Computer Science. It covers every branch of ML I know of and it covers it really well. I found Mitchell's chapter on Neural Networks more insightful than an entire book on NN's that I read. I also found his chapter on Reinforcement Learning more useful and better explained than an entire book on Reinforcement Learning that I also read. The other chapters cover other ML topics at the same level of quality and rigor.The author did an amazing job in covering the breadth and depth of ML in less than 500 pages. I hope he will write a new edition to cover the advances that happened in the last decade.",Machine Learning,50.27
2,0070428077,"If you are interested in the topic of machine learning, this is the start book for you. It is quite informative and covers the actual methods of learning and the concepts involved. It is not the most readable but the author does a good job livening it up. For that matter, I do not know how to convey the topic in a readable fashion so compared against other similar books, the presentation is outstanding. For those in the field, this is a must.",Machine Learning,50.27
3,0070428077,"This book serves as an excellent introduction to machine learning.  The material covers a broad range of important machine learning concepts and algorithms.  The text is well-written and well-organized, and I use it frequently as a reference.  In addition to describing the basic theory and mechanics of the algorithms, the book helps develop an intuitive feel for the algorithms and provides examples of how they have been used.That said, the coverage of the theory behind the algorithms is fairly superficial.  Additionally, having been written in 1997, many recent algorithms such as SVMs and methods such as Adaboost are not covered.  For those reasons, this book cannot serve as a stand-alone text book for a course.",Machine Learning,50.27
4,0070428077,"Intelligent machines can be characterized, at least qualitatively, by the degree to which they require interaction with another intelligent machine in order to learn or engage in problem solving, the degree to which they can construct theories explaining data in a given domain, the degree to which they can think in more than one domain, the degree of curiosity that they possess, and the degree to which they take on these tasks by themselves and not under the instigation of an external entity. There are many (non-human) machines today that have some of these characteristics, thanks in part to the research contained in this book, among many others.The book is a collection of work in artificial intelligence that was undertaken almost 25 years ago, but some of it is still relevant today. At that time researchers were still unsure as to what constitutes machine intelligence, and to a large degree the lack of a general definition has continued to this day. But one can argue with confidence that machine intelligence has finally taken a foothold in the real world, and in fact is now undergoing an explosion in application, particularly in areas such as network management, finance, medicine, and bioinformatics.The characterization of machine intelligence given in the paragraph above differs to a large degree to the classification of machine learning systems that is given in this book, but there are similarities. Since the time of publication of this book, emphasis now is placed on the ability of machines to solve problems in more than one domain. In particular, many insist that a truly intelligent machine must be able to use essentially the same reasoning patterns over multiple domains, or as a bare minimum that a reasoning pattern be able solve a problem in one domain and without alteration solve a different problem in a different domain.The editors of this book classify machine learning systems on the basis of the learning strategies that they use, the way that they represent the knowledge or skills that they acquire, and in terms of the domain in which the knowledge is acquired. It is interesting to note however that they distinguish the learning strategies by the amount of inference that the machine is able to perform. A machine that is programmed directly will not perform any inference, even though its knowledge increases. One could call these ordinary machines, and they represent most of the machines at the present time. However, there are at the present time machines that can discover new theories and invent new concepts. These machines the editors argue perform a substantial amount of inference, and therefore are less dependent on the need for tutoring or guidance by a teacher or the external environment. There are machines today that are certainly able to engage in this type of inference. Their reasoning patterns on based on inductive logic and they have been used in automated drug discovery. This book contains other examples of this type of learning, such as learning from examples and from instruction. The ability of some machines today to do this type of learning is a definite sign of the remarkable advances in machine intelligence since this volume was written.",Machine Learning,50.27
5,0070428077,"It's pretty well done, it covers theory and core areas but - maybe it was more the state of the field when it was written - I found it unsatisfyingly un-synthesized, unconnected, and short of detail (but this is subjective). I found the 2nd edition of Russell and Norvig to be a better introduction where it covers the same topic, which it does for everything I can think of, except VC dimension.The book sorely needs an update, it was written in 1997 and the field has moved fast. A comparison with Mitchell's current course (materials generously available online) shows that about 1/4 of the topics taught have arisen since the book was published; Boosting, Support Vector Machines and Hidden Markov Models to name the best-known. The book also does not cover statistical or data mining methods.Despite the subjective complaint about lack of depth it does give the theoretical roots and many fundamental techniques decently and readably. For many purposes though it may have been superceded by R&amp;N 2nd ed.",Machine Learning,50.27
6,0070428077,"I liked the book. But I think author must provide more figures in the book like Duda and Hart's Pattern Classification book. I used the book as master course and I found it easy to follow, interesting and useful book even I am newcomer to topic.",Machine Learning,50.27
7,0070428077,"This book is a redaction of many different white papers on the topic of machine learning. The material is very credible and accepted in the field, with very little (if any) temporal information (short term at least). With that said, it is also very dry and academic, and requires a solid background in mathematics to understand. Even if you are in the field, you're likely to read certain pages several times to embrace a concept... but once you embrace it, you will have some of the best foundational knowledge there is on the subject. If you're in the machine-learning field, you'll benefit from revisiting some of these subject, and probably learn a new thing or two.",Machine Learning,50.27
8,0070428077,"This is not my favorite machine learning book, but Tom Mitchell did us all a favor by writing it.  It covers the breadth of topics that make up the machine learning discipline fairly completely.  Since this book is about completely, there is also a shallowness, but that shallowness does not trim out complete descriptions of the algorithms covered.  Oh no, all the gory math is there, what isn't there are simple examples.My first time through the book, what gave me the biggest headache was trying to understand back propagation from the algorithm pseudo code and the proof of correctness.  I really really wanted one simple example at that point to make sure I understood the correct use of all the greek terms.So good book, but I really wanted ""Machine Learning Examples"" to go along with it back when I first picked it up.  But once you understand, the book is a great reference.",Machine Learning,50.27
9,0070428077,"Machine Learning by Tom M. Mitchell is the first text book for students who aspire to learn the subject of machine learning. It presents detailed and easy to understand illustrations of various concepts that are used in the field of machine learning. These include, necessary topics concerning probability and statistics, artificial intelligence, neural networks and evolutionary algorithms.The best thing about the book is its illustration of feed-forward, back-propagation, multi-layer perceptron (MLP). The good thing about it is that the underlying mathematical concepts are explained in a layman friendly manner. One learns techniques for computing partial derivatives and the chain rule for differentiation for the first time in high-school calculus without having any apparent and significant practical benefit. Their utility becomes clear when one reads and understands how the MLP works. More precisely, Mitchell explains how partial derivatives are computed with respect to the weight coefficients at every step of the MLP so as to guide the gradient descent algorithm to plunge into some locally or globally optimal solution. Similarly, Mitchell shows the significance of applying the chain rule to derive weight coefficients at every layer and node of the MLP with respect to the input values at its first layer. The whole explanation is quite fascinating and exciting.Mitchell also introduces and covers the complicated topic of evolutionary algorithms in a very nice way. Initially various concepts surrounding genetic algorithms are introduced in a lucid manner to make the student comfortable with the subject. Mitchell then illustrates genetic programming. Other important and interesting algorithms are also discussed. For instance, coverage of the famous simulated annealing algorithm is quite interesting. The book is an excellent guide for any student who has began to learn machine learning.",Machine Learning,50.27
10,0070428077,"I got this book from the university's library, because I wanted a nice book that can show me different methods for machine learning, so I can learn the buzzwords, and understand their meaning, at least in principle. It was important to me that the book won't go too much in depth into any subject, and more importantly, that the book won't use unfamiliar terminology, unless explained before.This book is indeed a nice overview of the field at the time it was written, although a lot happened in Machine Learning since, the book remains a good source for learning what can be done and how.Reading the book is quite easy (I'm a graduate student in computer science), and quickly I got what I was asking for.This book is not a magic pill for any problem. This is not a cookbook. So the compliments are in place as long as you know what you're looking for.These days I attend a seminar where the students are asked, each student in turn to present one chapter from this book (and some other books). Surely, once the seminar is over, we (the students) will know enough to be able to chat about Machine Learning, and more importantly, we will know where to look for deeper texts if we wanted to.",Machine Learning,50.27
11,0070428077,"This is extremely intuitive and general point of view on ML.good for quick reading and getting introduced to the topic.I'd recommend this to people starting ML.then move on to more mathematically rigorous and specific books such as""Pattern Classification""/ ""Pattern Recognition and Machine Learning"" / Hastie's ""Element of Statistical Learning""i never say this for a book. but it is too pricey for what it is offering.FYI i think they should increase the price of Chris Bishop's book.",Machine Learning,50.27
12,0070428077,"One of the best books on the subject. Mitchell gives a good introductory coverage to all aspects of Machine Learning. This is not a book full of mathematics, it is a book that gets across ideas and concepts.",Machine Learning,50.27
13,0070428077,"This book is completely worth the price, and worth the hardcover to take care of it. The main chapters of the book are independent, so you can read them in any order. The way it explains the different learning approaches is beautiful because:  1)it explains them nicely 2)it gives examples and 3)it presents pseudocode summaries of the algorithms. As a software developer, what else could I possibly ask for?",Machine Learning,50.27
